acc,mem,reduce_mem,time,dataplug_chunks,processing_chunksize,nlambdas
SRR20688788,3538,5307,544.6026976108551,64,64,1
SRR20688788,3538,5307,505.540167093277,64,64,1
SRR20688788,3538,5307,541.4632012844086,64,64,1
SRR20688788,3538,5307,323.5658218860626,64,32,2
SRR20688788,3538,5307,315.50878715515137,64,32,2
SRR20688788,3538,5307,310.50245213508606,64,32,2
SRR20688788,3538,5307,249.32774806022644,64,16,4
SRR20688788,3538,5307,247.32907724380493,64,16,4
SRR20688788,3538,5307,252.43902158737183,64,16,4
SRR20688788,3538,5307,166.93533372879028,64,8,8
SRR20688788,3538,5307,147.61141872406006,64,8,8
SRR20688788,3538,5307,158.15257906913757,64,8,8
SRR20688788,3538,5307,142.84674215316772,64,4,16
SRR20688788,3538,5307,124.08558988571167,64,4,16
SRR20688788,3538,5307,127.10887742042542,64,4,16
SRR20688788,3538,5307,52.27032017707825,64,2,32
SRR20688788,3538,5307,50.35407042503357,64,2,32
SRR20688788,3538,5307,54.99069857597351,64,2,32
SRR20688788,3538,5307,61.28182578086853,64,1,64
SRR20688788,3538,5307,48.668861389160156,64,1,64
SRR20688788,3538,5307,52.41187882423401,64,1,64
